"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48535,580,"Palace - Central - W. of Axis","Limestone trial piece","TA.OC.36-37.028","28","0.2","Ashmolean","","","https://www.flickr.com/photos/25459876@N04/18671310228","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48535,1014,"T.A.36.37 Palace- Central W. of Axis","Limestone trial piece.","TA.OC.36-37.028","28","0.2","Ashmolean","","Notes annotated on image","https://www.flickr.com/photos/25459876@N04/18671310228","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48536,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.029","29","0.7","Ashmolean","T.A. 36-37; 23 x 26","","https://www.flickr.com/photos/25459876@N04/18671309588","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48536,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.029","29","0.7","Ashmolean","","","https://www.flickr.com/photos/25459876@N04/18671309588","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48536,1014,"T.A.36.37 Palace- Central W. of Axis","Limestone relief","TA.OC.36-37.029","29","0.7","Ashmolean","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18671309588","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48537,433,"Palace - Central, W. of Axis","Bronze Chisel","TA.OC.36-37.030","30","0.43","Cairo","T.A. 36-37; 22","","https://www.flickr.com/photos/25459876@N04/18238423113","Michael George Adams; Joellen mcGann; Denis Antoine"
48537,580,"Palace - Central - W. of Axis","Bronze chisel","TA.OC.36-37.030","30","0.43","Cairo","","","https://www.flickr.com/photos/25459876@N04/18238423113","Michael George Adams; Joellen mcGann; Denis Antoine"
